date,doc,feed_type,total_feed,zone,tank,water_exchange
27/05/2023,0,Artemia,0.08,N,,26
28/05/2023,1,Artemia,0.70,N,,13
29/05/2023,2,Artemia,0.42,N,,13
30/05/2023,3,Art+PL300,0.82,N,,
31/05/2023,4,Art+PL300,0.72,N,,
01/06/2023,5,Art+PL500,0.34,N,,
02/06/2023,6,PL500,0.32,N,,
03/06/2023,7,PL500,0.32,N,,
04/06/2023,8,PL500,0.54,N,,
05/06/2023,9,PL500,0.60,N,,
06/06/2023,10,PL500,0.64,N,,
07/06/2023,11,PL500,0.78,N,,
08/06/2023,12,PL500+GBT1,0.82,N,,
09/06/2023,13,PL500+GBT1,1.12,N,,
10/06/2023,14,GBT1,1.34,N,,
11/06/2023,15,GBT1,1.80,N,,
12/06/2023,16,GBT1,1.60,N,,
13/06/2023,17,GBT1,1.48,N,,
14/06/2023,18,GBT1,2.04,N,,
15/06/2023,19,GBT1+2,2.48,N,,
16/06/2023,20,GBT2,3.52,N,,26
17/06/2023,21,GBT2,3.56,N,,
18/06/2023,22,GBT2,3.50,N,,26
19/06/2023,23,GBT2,3.20,N,,
20/06/2023,24,GBT2,3.52,N,,26
21/06/2023,25,GBT2,3.92,N,,
22/06/2023,26,GBT2,4.48,N,,26
23/06/2023,27,GBT2,3.40,N,,
28/06/2023,0,PL500,0.08,N,,26
29/06/2023,1,PL500,0.42,N,,13
30/06/2023,2,PL500,0.30,N,,13
01/07/2023,3,PL500,0.28,N,,
02/07/2023,4,PL500,0.28,N,,
03/07/2023,5,PL500,0.32,N,,
04/07/2023,6,PL500+1,0.42,N,,
05/07/2023,7,PL500+1,0.46,N,,
06/07/2023,8,PL500+1,0.46,N,,
07/07/2023,9,GBT1,0.68,N,,
08/07/2023,10,GBT1,0.74,N,,
09/07/2023,11,GBT1,0.78,N,,
10/07/2023,12,GBT1,1.02,N,,
11/07/2023,13,GBT1,1.08,N,,
12/07/2023,14,GBT1,1.26,N,,
13/07/2023,15,GBT1,1.34,N,,
14/07/2023,16,GBT1,1.68,N,,
15/07/2023,17,GBT1,1.58,N,,
16/07/2023,18,GBT1+2,1.72,N,,
17/07/2023,19,GBT1+2,1.84,N,,
18/07/2023,20,GBT1+2,1.90,N,,26
19/07/2023,21,GBT1+2,1.92,N,,
20/07/2023,22,GBT1+2,2.23,N,,26
21/07/2023,23,GBT1+2,3.48,N,,
22/07/2023,24,GBT2,3.56,N,,26
23/07/2023,25,GBT2,3.40,N,,
24/07/2023,26,GBT2,3.36,N,,26
25/07/2023,27,GBT2,3.87,N,,
26/07/2023,28,GBT2,4.36,N,,26
29/07/2023,0,PL300,0.08,N,,32.5
30/07/2023,1,PL300,0.40,N,,16.25
31/07/2023,2,PL300,0.35,N,,16.25
01/08/2023,3,Art+PL500,0.75,N,,
02/08/2023,4,Art+PL500,0.83,N,,
03/08/2023,5,Art+PL500,0.83,N,,
04/08/2023,6,PL500,0.83,N,,
05/08/2023,7,PL500,0.70,N,,
06/08/2023,8,PL500,0.98,N,,
07/08/2023,9,PL500,1.08,N,,
08/08/2023,10,PL500+GBT1,1.35,N,,
09/08/2023,11,PL500+GBT1,1.50,N,,
10/08/2023,12,GBT1,1.88,N,,
11/08/2023,13,GBT1,1.95,N,,
12/08/2023,14,GBT1,2.26,N,,
13/08/2023,15,GBT1,2.49,N,,
14/08/2023,16,GBT1+2,2.67,N,,
15/08/2023,17,GBT1+2,2.45,N,,
16/08/2023,18,GBT1+2,2.64,N,,
17/08/2023,19,GBT1+2,2.74,N,,
18/08/2023,20,GBT2,3.14,N,,32.5
19/08/2023,21,GBT2,4.37,N,,
20/08/2023,22,GBT2,4.87,N,,32.5
21/08/2023,23,GBT2,4.76,N,,
22/08/2023,24,GBT2,5.36,N,,32.5
23/08/2023,25,GBT2,5.64,N,,
24/08/2023,26,GBT2,6.04,N,,32.5
25/08/2023,27,GBT2,3.68,N,,
01/04/2023,88,4,1,F,F4,
02/04/2023,89,4,8.4,F,F4,
03/04/2023,90,4,9.8,F,F4,
04/04/2023,91,4,9.8,F,F4,140
05/04/2023,92,4,9.8,F,F4,
06/04/2023,93,4,11.2,F,F4,
07/04/2023,94,4,11.2,F,F4,140
08/04/2023,95,4,11.2,F,F4,
09/04/2023,96,4,11.2,F,F4,140
10/04/2023,97,4,11.2,F,F4,
11/04/2023,98,4,11.2,F,F4,
12/04/2023,99,4,12.6,F,F4,140
13/04/2023,100,4,14,F,F4,
14/04/2023,101,4,14,F,F4,
15/04/2023,102,4,15.4,F,F4,140
16/04/2023,103,4,15.4,F,F4,
17/04/2023,104,4,15.4,F,F4,
18/04/2023,105,4,15.4,F,F4,140
19/04/2023,106,4,15.4,F,F4,
20/04/2023,107,4,15.4,F,F4,140
21/04/2023,108,4,15.4,F,F4,
22/04/2023,109,4,15.4,F,F4,
23/04/2023,110,4,15.4,F,F4,140
24/04/2023,111,4,15.4,F,F4,
25/04/2023,112,4,15.4,F,F4,140
26/04/2023,113,4,16.8,F,F4,
27/04/2023,114,4,16.8,F,F4,140
28/04/2023,115,4,16.8,F,F4,
29/04/2023,116,4,16.8,F,F4,140
30/04/2023,117,4,16.8,F,F4,
01/05/2023,118,4,16.8,F,F4,140
02/05/2023,119,4,16.8,F,F4,
